poor_rate,good_rate,good_count,general_count,poor_count,after_count,average_score,sku_id,good_name
0.017,0.98,1000,4,10,10,5,27819228381,3
0.006,0.97,400,7,3,10,5,10609578480,A
0,1,60,0,0,1,5,28003546233,克
0,1,30,0,0,0,5,30633371842,华
0.017,0.98,1300,4,10,10,5,19998283467,华
0,1,30,0,0,0,5,30284512177,纽
0,1,10,0,0,0,5,35460131305,乐
0.03,0.97,300,0,9,1,5,20463210606,美
0,1,9,0,0,1,5,41249702829,飞
0.026,0.97,2700,10,60,10,5,19738282570,美
0.006,0.98,100,1,1,0,5,27865725795,华
0.015,0.98,2200,10,20,10,5,28923525198,华
0.028,0.97,300,1,7,10,5,25929701592,【
0,0.99,100,1,0,0,5,24272876122,三
0.021,0.97,400,4,5,4,5,32469722991,守
0.002,0.99,2300,10,7,10,5,32399563824,欧
0.017,0.98,2800,10,20,8,5,30464913244,华
0,1,100,0,0,1,5,20612754379,酷
0.1,0.9,9,0,1,1,5,41316018020,小
0,0.99,100,1,0,0,5,32789532860,誉
0,0.99,100,1,0,2,5,39874109667,华
0.011,0.97,1200,20,10,8,5,1279735872,朗
0.009,0.99,35000,60,100,100,5,30970718594,小
0.08,0.92,10,0,1,1,5,42424587635,诺
0,1,7,0,0,0,5,37229145931,X
0.006,0.98,100,1,1,3,5,27830499316,A
0,1,0,0,0,0,5,41408383358,华
0.017,0.98,19000,70,100,100,5,16580068432,A
0.03,0.93,100,7,6,3,5,41168033638,魅
0.014,0.95,60,2,1,0,5,22379708354,联
0.03,0.97,40,0,1,0,5,27277308744,华
0.5,0.5,1,0,1,0,3,38478494964,索
0.016,0.98,2400,10,10,10,5,26655341586,华
0,1,5,0,0,0,5,43685500788,小
0.018,0.98,400,1,4,4,5,16099024601,华
0,0.98,80,1,0,2,5,32723110488,华
0.008,0.99,400,1,2,0,5,33208646559,华
0,1,2,0,0,0,5,43023609390,华
0.02,0.98,100,0,3,1,5,29652821442,华
0.008,0.98,100,1,1,2,5,27768725955,中
0.005,0.98,47000,300,200,300,5,3860259,飞
0,1,30,0,0,0,5,26774910891,华
0.008,0.97,600,10,6,3,5,100003102030,飞
0.008,0.99,1800,5,6,10,5,33322368319,H
0.019,0.98,3500,7,40,90,5,34814213356,【
0.016,0.98,36000,100,400,200,5,16580586466,A
0.06,0.94,10,0,1,0,5,39080391491,华
0.01,0.99,100,0,1,0,5,36025358118,飞
0.005,0.98,500,3,3,4,5,25540408290,A
0.016,0.98,1500,7,9,10,5,28976036653,华
0.019,0.97,3500,40,40,30,5,4364853,天
0.024,0.97,400,3,8,8,5,32528941070,华
0.02,0.98,50,0,1,1,5,29061193189,【
0,1,60,0,0,0,5,35095583611,【
0.05,0.95,30,0,2,0,5,41844596592,华
0,1,3,0,0,0,5,41757847566,华
0.02,0.98,70,0,1,1,5,37234176369,华
0.005,0.98,300,5,2,0,5,34440585125,华
0,0.83,5,1,0,0,5,36995413544,三
0,1,9,0,0,1,5,41409608031,华
0.016,0.98,62000,300,400,600,5,8024543,O
0.004,0.99,36000,100,100,100,5,6513853,飞
0.016,0.98,2500,10,20,30,5,40435356558,华
0.01,0.99,200,0,1,1,5,32664579260,华
0,1,1,0,0,0,5,41906391875,小
0.06,0.94,10,0,1,0,5,29323177398,华
0.007,0.99,6500,20,30,50,5,26668009041,华
0,1,7,0,0,0,5,44068441366,华
0,1,70,0,0,0,5,34473186669,【
0,0.98,60,1,0,0,5,31947590622,华
0.015,0.98,4500,20,30,30,5,32369029643,O
0.004,0.99,12000,70,50,60,5,10358209905,守
0.02,0.98,70,0,1,0,5,35921213764,华
0.007,0.99,12000,40,60,80,5,35240693501,纽
0,1,2,0,0,0,5,40256250635,小
0,1,0,0,0,0,5,42998502896,华
0.004,0.99,2300,10,10,10,5,29921412413,索
0,1,4,0,0,0,5,35601880125,黑
0.011,0.97,1400,20,10,10,5,27350170234,魅
0,1,0,0,0,0,5,42271306889,三
0,1,60,0,0,0,5,33576937950,8
0.017,0.98,1500,6,10,8,5,26661884999,华
0.03,0.97,30,0,1,1,5,39799204883,华
0.03,0.97,30,0,1,0,5,39874564638,中
0,1,50,0,0,0,5,15121816781,B
0.008,0.98,40000,300,300,400,5,100000400130,魅
0,1,0,0,0,0,5,43990835407,小
0.011,0.97,80,1,1,0,5,29002985149,魅
0.017,0.98,200,1,4,1,5,35105442780,【
0,1,40,0,0,0,5,35244324205,华
0,1,6,0,0,0,5,30388985974,华
0,1,4,0,0,0,5,42429053545,华
0,0.87,7,1,0,0,5,37405936766,纽
0.014,0.98,1500,10,10,6,5,26695434177,华
0,1,4,0,0,0,5,42546722578,华
0.004,0.98,800,8,4,1,5,34084392420,4
0,1,2,0,0,0,5,42067201296,三
0,1,5,0,0,0,5,40662474775,飞
0.02,0.98,90,0,1,0,5,36179728679,【
0,1,40,0,0,0,5,41332070718,华
0,1,0,0,0,0,5,41952837299,飞
0.014,0.98,800,6,10,10,5,33278533283,小
0.024,0.97,100,1,2,0,5,31105626865,华
0,1,10,0,0,0,5,33076185295,华
0,1,0,0,0,0,5,37093495699,A
0.01,0.97,300,4,4,1,5,30732902199,华
0,0.96,90,3,0,1,5,36230146820,A
0.002,0.99,400,2,1,5,5,37281035313,【
0,1,20,0,0,0,5,37942991578,华
0.008,0.99,310000,900,1000,1100,5,100000717327,荣
0,1,0,0,0,0,5,41519501628,华
0.05,0.95,50,0,3,1,5,21127001255,中
0.01,0.99,100,0,1,4,5,30729222056,华
0.004,0.99,400,2,2,1,5,27828706237,华
0.013,0.98,66000,400,700,700,5,7293054,锤
0.006,0.98,600,7,4,9,5,36014700501,中
0,1,10,0,0,0,5,40852328533,天
0,1,100,0,0,1,5,36863702841,O
0.007,0.99,600,2,4,8,5,19445181188,小
0.02,0.98,300,0,5,2,5,34198121268,华
0,1,3,0,0,0,5,37612911411,诺
0,1,100,0,0,0,5,43545298738,【
0,1,2,0,0,0,5,43204839646,华
0.01,0.99,300,0,3,1,5,30151643884,华
0.016,0.98,8900,30,60,60,5,21690477583,小
0.02,0.98,100,0,2,0,5,26473211763,中
0.008,0.99,5500,10,10,30,5,30541887691,纽
0.008,0.99,16000,40,50,70,5,100004268906,【
0,1,9,0,0,1,5,30971228300,酷
0,0.98,80,1,0,0,5,40037908867,小
0,1,20,0,0,0,5,43347796356,华
0.02,0.98,70,0,1,0,5,33586764667,酷
0.04,0.96,20,0,1,0,5,26834808678,华
