地区,年份,考生类别,批次,分数线
北京,2018,理科,本科一批,532
北京,2018,理科,本科二批,432
北京,2018,理科,专科批,150
北京,2018,文科,本科一批,576
北京,2018,文科,本科二批,488
北京,2018,文科,专科批,150
天津,2018,理科,本科批,407
天津,2018,理科,专科批,130
天津,2018,文科,本科批,436
天津,2018,文科,专科批,130
河北,2018,理科,本科一批,511
河北,2018,理科,本科二批,358
河北,2018,理科,专科批,200
河北,2018,文科,本科一批,559
河北,2018,文科,本科二批,441
河北,2018,文科,专科批,200
河南,2018,理科,本科一批,499
河南,2018,理科,本科二批,374
河南,2018,理科,专科批,200
河南,2018,文科,本科一批,547
河南,2018,文科,本科二批,436
河南,2018,文科,专科批,200
山东,2018,理科,本科批,435
山东,2018,理科,专科批,170
山东,2018,文科,本科批,505
山东,2018,文科,专科批,170
山西,2018,理科,本科一批,516
山西,2018,理科,本科二批,432
山西,2018,理科,专科批,150
山西,2018,文科,本科一批,546
山西,2018,文科,本科二批,476
山西,2018,文科,专科批,150
陕西,2018,理科,本科一批,474
陕西,2018,理科,本科二批,425
陕西,2018,理科,本科三批,332
陕西,2018,理科,专科批,160
陕西,2018,文科,本科一批,518
陕西,2018,文科,本科二批,467
陕西,2018,文科,本科三批,345
陕西,2018,文科,专科批,160
内蒙古,2018,理科,本科一批,478
内蒙古,2018,理科,本科二批,336
内蒙古,2018,理科,专科批,160
内蒙古,2018,文科,本科一批,501
内蒙古,2018,文科,本科二批,399
内蒙古,2018,文科,专科批,160
辽宁,2018,理科,本科批,368
辽宁,2018,理科,专科批,180
辽宁,2018,文科,本科批,461
辽宁,2018,文科,专科批,180
吉林,2018,理科,本科一批,533
吉林,2018,理科,本科二批,405
吉林,2018,理科,本科三批,283
吉林,2018,理科,专科批,150
吉林,2018,文科,本科一批,542
吉林,2018,文科,本科二批,432
吉林,2018,文科,本科三批,316
吉林,2018,文科,专科批,150
黑龙江,2018,理科,本科一批,472
黑龙江,2018,理科,本科二批,353
黑龙江,2018,理科,本科三批,284
黑龙江,2018,理科,专科批,160
黑龙江,2018,文科,本科一批,490
黑龙江,2018,文科,本科二批,406
黑龙江,2018,文科,本科三批,296
黑龙江,2018,文科,专科批,160
上海,2018,综合,本科批,401
上海,2018,综合,专科批,143
江苏,2018,理科,本科一批,336
江苏,2018,理科,本科二批,285
江苏,2018,理科,专科批,248
江苏,2018,文科,本科一批,337
江苏,2018,文科,本科二批,281
江苏,2018,文科,专科批,228
安徽,2018,理科,本科一批,505
安徽,2018,理科,本科二批,432
安徽,2018,理科,专科批,200
安徽,2018,文科,本科一批,550
安徽,2018,文科,本科二批,486
安徽,2018,文科,专科批,200
江西,2018,理科,本科一批,527
江西,2018,理科,本科二批,447
江西,2018,理科,专科批,160
江西,2018,文科,本科一批,568
江西,2018,文科,本科二批,496
江西,2018,文科,专科批,160
湖北,2018,理科,本科一批,512
湖北,2018,理科,本科二批,375
湖北,2018,理科,专科批,200
湖北,2018,文科,本科一批,561
湖北,2018,文科,本科二批,441
湖北,2018,文科,专科批,200
湖南,2018,理科,本科一批,513
湖南,2018,理科,本科二批,450
湖南,2018,理科,本科三批,409
湖南,2018,理科,专科批,200
湖南,2018,文科,本科一批,569
湖南,2018,文科,本科二批,526
湖南,2018,文科,本科三批,486
湖南,2018,文科,专科批,200
重庆,2018,理科,本科一批,524
重庆,2018,理科,本科二批,428
重庆,2018,理科,专科批,140
重庆,2018,文科,本科一批,524
重庆,2018,文科,本科二批,434
重庆,2018,文科,专科批,140
四川,2018,理科,本科一批,546
四川,2018,理科,本科二批,458
四川,2018,理科,专科批,180
四川,2018,文科,本科一批,553
四川,2018,文科,本科二批,492
四川,2018,文科,专科批,190
贵州,2018,理科,本科一批,484
贵州,2018,理科,本科二批,379
贵州,2018,理科,专科批,200
贵州,2018,文科,本科一批,575
贵州,2018,文科,本科二批,477
贵州,2018,文科,专科批,200
云南,2018,理科,本科一批,530
云南,2018,理科,本科二批,430
云南,2018,理科,专科批,200
云南,2018,文科,本科一批,575
云南,2018,文科,本科二批,490
云南,2018,文科,专科批,200
广东,2018,理科,本科批,376
广东,2018,理科,专科批,205
广东,2018,文科,本科批,443
广东,2018,文科,专科批,215
广东,2018,学考理,专科批,150
广东,2018,学考文,专科批,170
广西,2018,理科,本科一批,513
广西,2018,理科,本科二批,345
广西,2018,理科,专科批,200
广西,2018,文科,本科一批,547
广西,2018,文科,本科二批,403
广西,2018,文科,专科批,200
福建,2018,理科,本科一批,490
福建,2018,理科,本科二批,378
福建,2018,理科,专科批,258
福建,2018,文科,本科一批,551
福建,2018,文科,本科二批,446
福建,2018,文科,专科批,362
甘肃,2018,理科,本科一批,483
甘肃,2018,理科,本科二批,436
甘肃,2018,理科,本科三批,370
甘肃,2018,理科,专科批,180
甘肃,2018,文科,本科一批,502
甘肃,2018,文科,本科二批,456
甘肃,2018,文科,本科三批,380
甘肃,2018,文科,专科批,180
宁夏,2018,理科,本科一批,463
宁夏,2018,理科,本科二批,432
宁夏,2018,理科,本科三批,352
宁夏,2018,理科,专科批,200
宁夏,2018,文科,本科一批,528
宁夏,2018,文科,本科二批,498
宁夏,2018,文科,本科三批,418
宁夏,2018,文科,专科批,200
新疆,2018,理科,本科一批,467
新疆,2018,理科,本科二批,341
新疆,2018,理科,专科批,200
新疆,2018,文科,本科一批,500
新疆,2018,文科,本科二批,372
新疆,2018,文科,专科批,200
西藏,2018,理科,本科一批,445
西藏,2018,理科,本科二批,335
西藏,2018,理科,专科批,213
西藏,2018,文科,本科一批,460
西藏,2018,文科,本科二批,355
西藏,2018,文科,专科批,169
海南,2018,理科,本科批,539
海南,2018,理科,专科批,280
海南,2018,文科,本科批,579
海南,2018,文科,专科批,280
浙江,2018,综合,平行录取一段,588
浙江,2018,综合,平行录取二段,490
浙江,2018,综合,平行录取三段,344
青海,2018,理科,本科一批,403
青海,2018,理科,本科二批,365
青海,2018,理科,本科三批,334
青海,2018,理科,专科批,200
青海,2018,文科,本科一批,475
青海,2018,文科,本科二批,424
青海,2018,文科,本科三批,377
青海,2018,文科,专科批,200
