地区,年份,考生类别,批次,分数线
江苏,2015,理科,本科三批,278
江苏,2015,文科,本科一批,342
江苏,2015,文科,本科二批,313
江苏,2015,文科,本科三批,288
安徽,2015,理科,本科一批,555
安徽,2015,理科,本科二批,511
安徽,2015,理科,本科三批,483
安徽,2015,理科,专科一批,200
安徽,2015,文科,本科一批,597
安徽,2015,文科,本科二批,558
安徽,2015,文科,本科三批,522
安徽,2015,文科,专科一批,200
江西,2015,理科,本科一批,540
江西,2015,理科,本科二批,490
江西,2015,理科,本科三批,456
江西,2015,理科,专科一批,160
江西,2015,文科,本科一批,528
江西,2015,文科,本科二批,487
江西,2015,文科,本科三批,456
江西,2015,文科,专科一批,160
湖北,2015,理科,本科一批,510
湖北,2015,理科,本科二批,448
湖北,2015,理科,本科三批,360
湖北,2015,理科,专科一批,200
湖北,2015,文科,本科一批,521
湖北,2015,文科,本科二批,477
湖北,2015,文科,本科三批,415
湖北,2015,文科,专科一批,200
湖南,2015,理科,本科一批,526
湖南,2015,理科,本科二批,455
湖南,2015,理科,本科三批,406
湖南,2015,文科,本科一批,535
湖南,2015,文科,本科二批,481
湖南,2015,文科,本科三批,435
重庆,2015,理科,本科一批,573
重庆,2015,理科,本科二批,527
重庆,2015,理科,本科三批,485
重庆,2015,理科,专科一批,224
重庆,2015,理科,专科二批,150
重庆,2015,文科,本科一批,572
重庆,2015,文科,本科二批,532
重庆,2015,文科,本科三批,482
重庆,2015,文科,专科一批,240
重庆,2015,文科,专科二批,140
四川,2015,理科,本科一批,528
四川,2015,理科,本科二批,445
四川,2015,理科,专科一批,180
四川,2015,文科,本科一批,543
四川,2015,文科,本科二批,473
四川,2015,文科,专科一批,200
贵州,2015,理科,本科一批,453
贵州,2015,理科,本科二批,372
贵州,2015,理科,本科三批,345
贵州,2015,理科,专科一批,200
贵州,2015,文科,本科一批,543
贵州,2015,文科,本科二批,472
贵州,2015,文科,本科三批,438
贵州,2015,文科,专科一批,220
云南,2015,理科,本科一批,500
云南,2015,理科,本科二批,425
云南,2015,理科,本科三批,380
云南,2015,理科,专科一批,300
云南,2015,文科,本科一批,540
云南,2015,文科,本科二批,470
云南,2015,文科,本科三批,420
云南,2015,文科,专科一批,300
广东,2015,理科,本科一批,577
广东,2015,理科,本科二批,519
广东,2015,理科,本科三批,483
广东,2015,理科,专科一批,407
广东,2015,理科,专科二批,280
广东,2015,文科,本科一批,573
广东,2015,文科,本科二批,524
广东,2015,文科,本科三批,474
广东,2015,文科,专科一批,403
广东,2015,文科,专科二批,270
广西,2015,理科,本科一批,480
广西,2015,理科,本科二批,320
广西,2015,理科,专科一批,180
广西,2015,文科,本科一批,530
广西,2015,文科,本科二批,380
广西,2015,文科,专科一批,180
福建,2015,理科,本科一批,525
福建,2015,理科,本科二批,410
福建,2015,理科,专科一批,266
福建,2015,文科,本科一批,549
福建,2015,文科,本科二批,462
福建,2015,文科,专科一批,352
甘肃,2015,理科,本科一批,475
甘肃,2015,理科,本科二批,417
甘肃,2015,理科,本科三批,355
甘肃,2015,文科,本科一批,517
甘肃,2015,文科,本科二批,465
甘肃,2015,文科,本科三批,415
宁夏,2015,理科,本科一批,445
宁夏,2015,理科,本科二批,416
宁夏,2015,理科,本科三批,316
宁夏,2015,理科,专科一批,200
宁夏,2015,文科,本科一批,507
宁夏,2015,文科,本科二批,478
宁夏,2015,文科,本科三批,378
宁夏,2015,文科,专科一批,200
新疆,2015,理科,本科一批,446
新疆,2015,理科,本科二批,381
新疆,2015,理科,本科三批,350
新疆,2015,理科,专科一批,265
新疆,2015,文科,本科一批,486
新疆,2015,文科,本科二批,414
新疆,2015,文科,本科三批,368
新疆,2015,文科,专科一批,299
西藏,2015,理科,本科一批,420
西藏,2015,理科,本科二批,315
西藏,2015,理科,专科一批,280
西藏,2015,文科,本科一批,440
西藏,2015,文科,本科二批,355
西藏,2015,文科,专科一批,315
海南,2015,理科,本科一批,608
海南,2015,理科,本科二批,546
海南,2015,理科,本科三批,484
海南,2015,理科,专科一批,280
海南,2015,文科,本科一批,662
海南,2015,文科,本科二批,588
海南,2015,文科,本科三批,494
海南,2015,文科,专科一批,280
浙江,2015,理科,本科一批,605
浙江,2015,理科,本科二批,428
浙江,2015,理科,专科一批,266
浙江,2015,文科,本科一批,626
浙江,2015,文科,本科二批,472
浙江,2015,文科,专科一批,263
青海,2015,理科,本科一批,400
青海,2015,理科,本科二批,363
青海,2015,理科,本科三批,339
青海,2015,理科,专科一批,200
青海,2015,文科,本科一批,466
青海,2015,文科,本科二批,420
青海,2015,文科,本科三批,382
青海,2015,文科,专科一批,200
