地区,年份,考生类别,批次,分数线
北京,2015,理科,本科一批,548
北京,2015,理科,本科二批,495
北京,2015,理科,本科三批,452
北京,2015,理科,专科一批,150
北京,2015,文科,本科一批,579
北京,2015,文科,本科二批,527
北京,2015,文科,本科三批,477
北京,2015,文科,专科一批,150
天津,2015,理科,本科一批,538
天津,2015,理科,本科二批,459
天津,2015,理科,本科三批,376
天津,2015,理科,专科一批,200
天津,2015,文科,本科一批,547
天津,2015,文科,本科二批,486
天津,2015,文科,本科三批,385
天津,2015,文科,专科一批,200
河北,2015,理科,本科一批,544
河北,2015,理科,本科二批,474
河北,2015,理科,本科三批,335
河北,2015,理科,专科一批,200
河北,2015,文科,本科一批,548
河北,2015,文科,本科二批,496
河北,2015,文科,本科三批,404
河北,2015,文科,专科一批,200
河南,2015,理科,本科一批,529
河南,2015,理科,本科二批,458
河南,2015,理科,本科三批,383
河南,2015,理科,专科一批,180
河南,2015,文科,本科一批,513
河南,2015,文科,本科二批,455
河南,2015,文科,本科三批,397
河南,2015,文科,专科一批,180
山东,2015,理科,本科一批,562
山东,2015,理科,本科二批,490
山东,2015,文科,本科一批,568
山东,2015,文科,本科二批,510
山西,2015,理科,本科一批,515
山西,2015,理科,本科二批,442
山西,2015,文科,本科一批,513
山西,2015,文科,本科二批,462
陕西,2015,理科,本科一批,480
陕西,2015,理科,本科二批,440
陕西,2015,理科,本科三批,350
陕西,2015,文科,本科一批,510
陕西,2015,文科,本科二批,467
陕西,2015,文科,本科三批,382
内蒙古,2015,理科,本科一批,464
内蒙古,2015,理科,本科二批,336
内蒙古,2015,理科,专科一批,160
内蒙古,2015,文科,本科一批,487
内蒙古,2015,文科,本科二批,385
内蒙古,2015,文科,专科一批,160
辽宁,2015,理科,本科一批,500
辽宁,2015,理科,本科二批,419
辽宁,2015,理科,本科三批,345
辽宁,2015,理科,专科一批,180
辽宁,2015,文科,本科一批,530
辽宁,2015,文科,本科二批,460
辽宁,2015,文科,本科三批,395
辽宁,2015,文科,专科一批,180
吉林,2015,理科,本科一批,525
吉林,2015,理科,本科二批,405
吉林,2015,理科,本科三批,305
吉林,2015,文科,本科一批,543
吉林,2015,文科,本科二批,433
吉林,2015,文科,本科三批,300
黑龙江,2015,理科,本科一批,483
黑龙江,2015,理科,本科二批,371
黑龙江,2015,理科,本科三批,310
黑龙江,2015,文科,本科一批,495
黑龙江,2015,文科,本科二批,410
黑龙江,2015,文科,本科三批,333
上海,2015,理科,本科一批,414
上海,2015,理科,本科二批,348
上海,2015,理科,专科一批,194
上海,2015,文科,本科一批,434
上海,2015,文科,本科二批,372
上海,2015,文科,专科一批,144
江苏,2015,理科,本科一批,344
江苏,2015,理科,本科二批,310
