地区,年份,考生类别,批次,分数线
江苏,2019,理科,本科二批,307
江苏,2019,理科,专科批,260
江苏,2019,文科,本科一批,339
江苏,2019,文科,本科二批,277
江苏,2019,文科,专科批,230
江苏,2019,体育类,体育类（本科）,211
安徽,2019,理科,本科一批,496
安徽,2019,理科,本科二批,426
安徽,2019,理科,专科批,200
安徽,2019,理科,艺术A类（本科）,299
安徽,2019,理科,艺术B类（本科）,277
安徽,2019,理科,艺术类（高职专科）,160
安徽,2019,理科,体育类（本科）,277
安徽,2019,理科,体育类（高职专科）,200
安徽,2019,文科,本科一批,550
安徽,2019,文科,本科二批,504
安徽,2019,文科,专科批,200
安徽,2019,文科,艺术A类（本科）,353
安徽,2019,文科,艺术B类（本科）,328
安徽,2019,文科,艺术类（高职专科）,160
安徽,2019,文科,体育类（本科）,328
安徽,2019,文科,体育类（高职专科）,200
江西,2019,理科,本科一批,522
江西,2019,理科,本科二批,449
江西,2019,理科,专科批,160
江西,2019,理科,军校军检线,512
江西,2019,文科,本科一批,558
江西,2019,文科,本科二批,502
江西,2019,文科,专科批,160
江西,2019,文科,军校军检线,548
湖北,2019,理科,本科一批,505
湖北,2019,理科,本科二批,388
湖北,2019,理科,专科批,200
湖北,2019,理科,专科批（独立学院、民办）,150
湖北,2019,文科,本科一批,542
湖北,2019,文科,本科二批,445
湖北,2019,文科,专科批,200
湖北,2019,文科,专科批（独立学院、民办）,150
湖北,2019,体育类,体育类（本科）,329
湖北,2019,体育类,体育类（高职专科）,120
湖南,2019,理科,本科一批,500
湖南,2019,理科,本科二批,448
湖南,2019,理科,本科三批,414
湖南,2019,理科,专科批,200
湖南,2019,理科,体育类（本科一批）,356
湖南,2019,理科,体育类（本科二批）,338
湖南,2019,理科,体育类（本科三批）,324
湖南,2019,理科,体育类（高职专科）,160
湖南,2019,文科,本科一批,553
湖南,2019,文科,本科二批,523
湖南,2019,文科,本科三批,495
湖南,2019,文科,专科批,200
湖南,2019,文科,体育类（本科一批）,410
湖南,2019,文科,体育类（本科二批）,399
湖南,2019,文科,体育类（本科三批）,385
湖南,2019,文科,体育类（高职专科）,160
重庆,2019,理科,本科一批,525
重庆,2019,理科,本科二批,435
重庆,2019,理科,专科批,180
重庆,2019,文科,本科一批,545
重庆,2019,文科,本科二批,458
重庆,2019,文科,专科批,180
重庆,2019,体育类,本科批,333
重庆,2019,体育类,专科批,180
四川,2019,理科,本科一批,547
四川,2019,理科,本科二批,459
四川,2019,理科,专科批,150
四川,2019,文科,本科一批,540
四川,2019,文科,本科二批,472
四川,2019,文科,专科批,150
贵州,2019,理科,本科一批,470
贵州,2019,理科,本科二批,369
贵州,2019,理科,专科批,180
贵州,2019,理科,体育类（本科）,308
贵州,2019,理科,体育类（高职专科）,160
贵州,2019,文科,本科一批,542
贵州,2019,文科,本科二批,453
贵州,2019,文科,专科批,180
贵州,2019,文科,体育类（本科）,403
贵州,2019,文科,体育类（高职专科）,160
云南,2019,理科,本科一批,535
云南,2019,理科,本科二批,435
云南,2019,理科,专科批,200
云南,2019,理科,艺术类（本科）,345
云南,2019,理科,艺术类（高职专科）,200
云南,2019,理科,体育类（本科）,360
云南,2019,理科,体育类（高职专科）,200
云南,2019,文科,本科一批,560
云南,2019,文科,本科二批,480
云南,2019,文科,专科批,200
云南,2019,文科,艺术类（本科）,400
云南,2019,文科,艺术类（高职专科）,200
云南,2019,文科,体育类（本科）,405
云南,2019,文科,体育类（高职专科）,200
广东,2019,理科,本科批,390
广东,2019,理科,专科批,160
广东,2019,理科,地方专项计划本科批,465
广东,2019,理科,高分优先投档线,495
广东,2019,文科,本科批,455
广东,2019,文科,专科批,170
广东,2019,文科,地方专项计划本科批,516
广东,2019,文科,高分优先投档线,546
广东,2019,体育类,体育类（本科）,300
广东,2019,体育类,体育类（高职专科）,190
广东,2019,学考理,专科批,120
广东,2019,学考文,专科批,120
广西,2019,理科,本科一批,509
广西,2019,理科,本科二批,347
广西,2019,理科,专科批,180
广西,2019,理科,艺术类（本科）,260
广西,2019,理科,艺术类（高职专科）,126
广西,2019,文科,本科一批,521
广西,2019,文科,本科二批,388
广西,2019,文科,专科批,180
广西,2019,文科,艺术类（本科）,291
广西,2019,文科,艺术类（高职专科）,126
广西,2019,体育类,体育类（本科）,210
广西,2019,体育类,体育类（高职专科）,160
福建,2019,理科,本科一批,493
福建,2019,理科,本科二批,393
福建,2019,理科,专科批,220
福建,2019,理科,艺术类（本科）,255
福建,2019,理科,艺术类（高职专科）,154
福建,2019,理科,体育类（本科）,255
福建,2019,理科,体育类（高职专科）,154
福建,2019,文科,本科一批,550
福建,2019,文科,本科二批,464
福建,2019,文科,专科批,220
福建,2019,文科,艺术类（本科）,302
福建,2019,文科,艺术类（高职专科）,154
福建,2019,文科,体育类（本科）,302
福建,2019,文科,体育类（高职专科）,154
甘肃,2019,理科,本科一批,470
甘肃,2019,理科,本科二批,366
甘肃,2019,理科,专科批,160
甘肃,2019,文科,本科一批,519
甘肃,2019,文科,本科二批,400
甘肃,2019,文科,专科批,160
宁夏,2019,理科,本科一批,457
宁夏,2019,理科,本科二批,381
宁夏,2019,理科,专科批,200
宁夏,2019,理科,体育类（本科一批）,447
宁夏,2019,理科,体育类（本科二批）,357
宁夏,2019,理科,体育类（高职专科）,200
宁夏,2019,理科,国家专项计划本科一批,457
宁夏,2019,理科,国家专项计划本科二批,381
宁夏,2019,理科,地方专项计划本科一批,457
宁夏,2019,文科,本科一批,538
宁夏,2019,文科,本科二批,455
宁夏,2019,文科,专科批,200
宁夏,2019,文科,体育类（本科一批）,505
宁夏,2019,文科,体育类（本科二批）,442
宁夏,2019,文科,体育类（高职专科）,200
宁夏,2019,文科,国家专项计划本科一批,538
宁夏,2019,文科,国家专项计划本科二批,455
宁夏,2019,文科,地方专项计划本科一批,538
新疆,2019,理科,本科一批,450
新疆,2019,理科,本科二批,326
新疆,2019,理科,专科批,180
新疆,2019,文科,本科一批,510
新疆,2019,文科,本科二批,387
新疆,2019,文科,专科批,180
新疆,2019,艺术类,本科提前批,137
新疆,2019,艺术类,专科提前批,100
新疆,2019,体育类,本科提前批,160
新疆,2019,体育类,专科提前批,135
西藏,2019,理科,重点本科批,425
西藏,2019,理科,普通本科批,320
西藏,2019,理科,专科批,205
西藏,2019,理科,艺术类本科批（汉）,224
西藏,2019,理科,艺术类（高职专科）,144
西藏,2019,理科,体育类本科批（汉）,224
西藏,2019,理科,体育类（高职专科）,144
西藏,2019,理科,重点本科批（少）,325
西藏,2019,理科,普通本科批（少）,283
西藏,2019,理科,艺术类本科批（少）,198
西藏,2019,理科,体育类本科批（少）,198
西藏,2019,文科,重点本科批,420
西藏,2019,文科,普通本科批,320
西藏,2019,文科,专科批,155
西藏,2019,文科,艺术类本科批（汉）,224
西藏,2019,文科,艺术类（高职专科）,109
西藏,2019,文科,体育类本科批（汉）,224
西藏,2019,文科,体育类（高职专科）,109
西藏,2019,文科,重点本科批（少）,350
西藏,2019,文科,普通本科批（少）,300
西藏,2019,文科,艺术类本科批（少）,210
西藏,2019,文科,体育类本科批（少）,210
海南,2019,理科,本科批A段,539
海南,2019,理科,本科批B段,481
海南,2019,理科,专科提前批,280
海南,2019,理科,专科批,280
海南,2019,理科,自招线,603
海南,2019,理科,国家专项计划批,539
海南,2019,文科,本科批A段,593
海南,2019,文科,本科批B段,522
海南,2019,文科,专科提前批,280
海南,2019,文科,专科批,280
海南,2019,文科,自招线,654
海南,2019,文科,国家专项计划批,593
海南,2019,艺术类,专科提前批,196
海南,2019,艺术类,艺术类（本科）,415
海南,2019,体育类,专科批,279
海南,2019,体育类,体育类（本科）,441
浙江,2019,综合,平行录取一段,595
浙江,2019,综合,平行录取二段,496
浙江,2019,综合,平行录取三段,264
浙江,2019,体育类,体育类（平行录取一段）,507
浙江,2019,体育类,体育类（平行录取二段）,452
青海,2019,理科,本科一批,407
青海,2019,理科,本科二批,376
青海,2019,理科,本科三批,348
青海,2019,理科,专科批,160
青海,2019,理科,体育类（本科）,328
青海,2019,理科,体育类（高职专科）,160
青海,2019,理科,贫困地区专项计划（本科一批）,397
青海,2019,理科,贫困地区专项计划（本科二批）,366
青海,2019,理科,省外院校民族班、民族预科（本科一批）,397
青海,2019,理科,省外院校民族班、民族预科（本科二批）,366
青海,2019,理科,省内院校本科民族预科,356
青海,2019,理科,省内专项（本科一批）,382
青海,2019,理科,省内专项（本科二批）,361
青海,2019,文科,本科一批,488
青海,2019,文科,本科二批,444
青海,2019,文科,本科三批,405
青海,2019,文科,专科批,160
青海,2019,文科,体育类（本科）,400
青海,2019,文科,体育类（高职专科）,160
青海,2019,文科,贫困地区专项计划（本科一批）,478
青海,2019,文科,贫困地区专项计划（本科二批）,434
青海,2019,文科,省外院校民族班、民族预科（本科一批）,478
青海,2019,文科,省外院校民族班、民族预科（本科二批）,434
青海,2019,文科,省内院校本科民族预科,424
青海,2019,文科,省内专项（本科一批）,463
青海,2019,文科,省内专项（本科二批）,429
