地区,年份,考生类别,批次,分数线
北京,2019,理科,本科批,423
北京,2019,理科,专科提前批,120
北京,2019,理科,专科批,120
北京,2019,理科,自招线,527
北京,2019,理科,艺术类（本科）,295
北京,2019,理科,艺术类（高职专科）,84
北京,2019,理科,体育类（本科）,300
北京,2019,文科,本科批,480
北京,2019,文科,专科提前批,120
北京,2019,文科,专科批,120
北京,2019,文科,自招线,559
北京,2019,文科,艺术类（本科）,335
北京,2019,文科,艺术类（高职专科）,84
北京,2019,文科,体育类（本科）,330
天津,2019,理科,本科批,400
天津,2019,理科,专科批,120
天津,2019,理科,艺术类（本科）,280
天津,2019,理科,体育类（本科）,374
天津,2019,文科,本科批,428
天津,2019,文科,专科批,120
天津,2019,文科,艺术类（本科）,299
天津,2019,文科,体育类（本科）,380
天津,2019,体育文,专科批,131
天津,2019,体育理,专科批,115
天津,2019,艺术文,专科批,84
天津,2019,艺术理,专科批,84
河北,2019,理科,本科一批,502
河北,2019,理科,本科二批,379
河北,2019,理科,专科批,200
河北,2019,文科,本科一批,549
河北,2019,文科,本科二批,461
河北,2019,文科,专科批,220
河北,2019,农林类,本科二批,563
河北,2019,畜牧兽医类,本科二批,571
河北,2019,医学类,本科二批,479
河南,2019,理科,本科一批,502
河南,2019,理科,本科二批,385
河南,2019,理科,专科批,160
河南,2019,理科,体育类（本科）,305
河南,2019,理科,体育类（高职专科）,160
河南,2019,文科,本科一批,536
河南,2019,文科,本科二批,447
河南,2019,文科,专科批,160
河南,2019,文科,体育类（本科）,349
河南,2019,文科,体育类（高职专科）,160
山东,2019,理科,本科批,443
山东,2019,理科,专科批,150
山东,2019,理科,自招线,514
山东,2019,理科,艺术类（本科）,287
山东,2019,文科,本科批,503
山东,2019,文科,专科批,150
山东,2019,文科,自招线,542
山东,2019,文科,艺术类（本科）,326
山东,2019,体育类,专科批,150
山东,2019,体育类,体育类（本科）,303
山东,2019,艺术文,专科批,150
山东,2019,艺术理,专科批,150
山西,2019,理科,本科一批,507
山西,2019,理科,本科二批,432
山西,2019,理科,专科批,130
山西,2019,理科,本科二批C段,352
山西,2019,理科,艺术类（本科一批）,355
山西,2019,理科,艺术类（本科二批）,302
山西,2019,理科,体育类（本科一批）,406
山西,2019,理科,体育类（本科二批）,346
山西,2019,文科,本科一批,542
山西,2019,文科,本科二批,481
山西,2019,文科,专科批,130
山西,2019,文科,本科二批C段,405
山西,2019,文科,艺术类（本科一批）,379
山西,2019,文科,艺术类（本科二批）,337
山西,2019,文科,体育类（本科一批）,434
山西,2019,文科,体育类（本科二批）,385
山西,2019,体育文,专科批,104
山西,2019,体育文,本科二批C段,324
山西,2019,体育理,专科批,104
山西,2019,体育理,本科二批C段,282
山西,2019,艺术文,专科批,91
山西,2019,艺术文,本科二批C段,284
山西,2019,艺术理,专科批,91
山西,2019,艺术理,本科二批C段,246
陕西,2019,理科,本科一批,468
陕西,2019,理科,本科二批,363
陕西,2019,理科,专科批,150
陕西,2019,理科,艺术类（本科）,273
陕西,2019,理科,艺术类（高职专科）,105
陕西,2019,文科,本科一批,518
陕西,2019,文科,本科二批,400
陕西,2019,文科,专科批,150
陕西,2019,文科,艺术类（本科）,300
陕西,2019,文科,艺术类（高职专科）,105
陕西,2019,体育类,体育类（本科）,334
陕西,2019,体育类,体育类（高职专科）,325
内蒙古,2019,理科,本科一批,477
内蒙古,2019,理科,本科二批,352
内蒙古,2019,理科,专科批,160
内蒙古,2019,理科,蒙授本科一批,348
内蒙古,2019,理科,蒙授本科二批,274
内蒙古,2019,理科,蒙授高职高专,120
内蒙古,2019,文科,本科一批,522
内蒙古,2019,文科,本科二批,436
内蒙古,2019,文科,专科批,160
内蒙古,2019,文科,蒙授本科一批,398
内蒙古,2019,文科,蒙授本科二批,320
内蒙古,2019,文科,蒙授高职高专,120
内蒙古,2019,体育类,专科批,120
内蒙古,2019,美工设计类,本科二批,416
内蒙古,2019,采矿类,本科二批,497
内蒙古,2019,医学类,本科二批,489
内蒙古,2019,幼师类,本科二批,573
内蒙古,2019,化工类,本科二批,531
内蒙古,2019,蒙牧医类,本科二批,394
内蒙古,2019,机电类,本科二批,538
内蒙古,2019,建筑类,本科二批,521
内蒙古,2019,汽驾类,本科二批,394
内蒙古,2019,旅游类,本科二批,531
内蒙古,2019,财会类,本科二批,504
内蒙古,2019,牧医类,本科二批,544
内蒙古,2019,农学类,本科二批,525
内蒙古,2019,计算机类,本科二批,542
内蒙古,2019,美工设计类,专科批,120
内蒙古,2019,采矿类,专科批,120
内蒙古,2019,医学类,专科批,120
内蒙古,2019,幼师类,专科批,120
内蒙古,2019,化工类,专科批,120
内蒙古,2019,蒙牧医类,专科批,120
内蒙古,2019,机电类,专科批,120
内蒙古,2019,建筑类,专科批,120
内蒙古,2019,汽驾类,专科批,120
内蒙古,2019,旅游类,专科批,120
内蒙古,2019,财会类,专科批,120
内蒙古,2019,烹饪类,专科批,120
内蒙古,2019,牧医类,专科批,120
内蒙古,2019,农学类,专科批,120
内蒙古,2019,计算机类,专科批,120
辽宁,2019,理科,本科批,369
辽宁,2019,理科,专科批,150
辽宁,2019,理科,自招线,512
辽宁,2019,理科,艺术类（本科）,258
辽宁,2019,理科,艺术类（高职专科）,150
辽宁,2019,理科,体育类（本、专科）,150
辽宁,2019,文科,本科批,482
辽宁,2019,文科,专科批,150
辽宁,2019,文科,自招线,564
辽宁,2019,文科,艺术类（本科）,337
辽宁,2019,文科,艺术类（高职专科）,150
辽宁,2019,文科,体育类（本、专科）,150
吉林,2019,理科,本科一批,530
吉林,2019,理科,本科二批,350
吉林,2019,理科,专科批,150
吉林,2019,理科,艺术类（本科）,263
吉林,2019,理科,体育类（本科）,310
吉林,2019,文科,本科一批,544
吉林,2019,文科,本科二批,372
吉林,2019,文科,专科批,150
吉林,2019,文科,艺术类（本科）,279
吉林,2019,文科,体育类（本科）,344
吉林,2019,艺术类,专科批,105
吉林,2019,体育类,专科批,130
黑龙江,2019,理科,本科一批,477
黑龙江,2019,理科,本科二批,372
黑龙江,2019,理科,本科三批,324
黑龙江,2019,理科,专科批,160
黑龙江,2019,理科,艺术类（本科）,236
黑龙江,2019,理科,体育类（本科）,223
黑龙江,2019,文科,本科一批,500
黑龙江,2019,文科,本科二批,424
黑龙江,2019,文科,本科三批,348
黑龙江,2019,文科,专科批,160
黑龙江,2019,文科,艺术类（本科）,254
黑龙江,2019,文科,体育类（本科）,254
黑龙江,2019,艺术类,专科批,150
黑龙江,2019,体育类,专科批,150
上海,2019,综合,本科批,403
上海,2019,综合,专科批,143
上海,2019,综合,自招线,503
上海,2019,艺术类,艺术类（本科）,262
上海,2019,体育类,体育类（本科）,282
江苏,2019,理科,本科一批,345
