USERID,最近一次消费间隔,年消费次数,年消费金额,R,F,M,RFM,Label
142074,813,2,9408.9,1,2,5,125,流失客户
56927,481,2,8826.9,5,2,5,525,重要价值客户
87058,680,2,11898.0,2,2,5,225,新客户
136104,818,1,5999.0,1,1,5,115,流失客户
117831,818,1,5399.0,1,1,5,115,流失客户
151069,818,1,4548.0,1,1,5,115,流失客户
124094,568,4,4451.9,4,4,5,445,重要唤回客户
107268,785,2,6884.0,1,2,5,125,流失客户
146768,476,3,4277.9,5,3,5,535,重要价值客户
121834,807,2,4001.9,1,2,5,125,流失客户
154068,517,2,4098.0,4,2,5,425,重要深耕客户
55156,585,2,3848.0,3,2,5,325,潜力客户
64562,500,3,3690.8,5,3,5,535,重要价值客户
125593,649,2,7287.0,3,2,5,325,潜力客户
117760,701,2,3528.0,2,2,5,225,新客户
135673,818,1,3488.0,1,1,5,115,流失客户
113584,539,3,6010.0,4,3,5,435,重要深耕客户
159480,603,2,7347.0,3,2,5,325,潜力客户
153742,804,2,3847.0,1,2,5,125,流失客户
117957,818,1,3099.0,1,1,5,115,流失客户
136767,818,1,2672.0,1,1,5,115,流失客户
97925,661,2,4498.0,2,2,5,225,新客户
122326,818,1,2588.0,1,1,5,115,流失客户
92480,818,1,2499.0,1,1,5,115,流失客户
62330,635,2,2567.9,3,2,5,325,潜力客户
64655,592,3,6944.9,3,3,5,335,重要挽留客户
76294,504,2,2291.2,5,2,5,525,重要价值客户
107527,818,1,2199.0,1,1,4,114,流失客户
100323,522,3,5878.0,4,3,5,435,重要深耕客户
89435,818,1,2198.0,1,1,4,114,流失客户
151826,743,2,2658.0,1,2,5,125,流失客户
65315,575,2,2157.0,4,2,4,424,重要深耕客户
150505,818,1,1999.0,1,1,4,114,流失客户
70555,818,1,1988.0,1,1,4,114,流失客户
86102,555,3,1954.9,4,3,4,434,重要深耕客户
118357,552,4,3220.7,4,4,5,445,重要唤回客户
121566,818,1,1348.0,1,1,4,114,流失客户
67800,818,1,1200.0,1,1,4,114,流失客户
83610,818,1,1198.0,1,1,4,114,流失客户
162424,818,1,1139.0,1,1,4,114,流失客户
94579,471,3,3323.9,5,3,5,535,重要价值客户
59009,565,4,4118.2,4,4,5,445,重要唤回客户
96211,818,1,999.0,1,1,4,114,流失客户
138800,818,1,998.0,1,1,4,114,流失客户
140249,461,3,1019.9,5,3,4,534,重要价值客户
60051,502,2,5999.0,5,2,5,525,重要价值客户
102447,818,1,799.0,1,1,4,114,流失客户
119972,649,2,1047.0,3,2,4,324,潜力客户
128492,818,1,791.0,1,1,4,114,流失客户
101702,625,3,1625.0,3,3,4,334,重要挽留客户
149672,818,1,638.0,1,1,4,114,流失客户
144178,814,2,918.0,1,2,4,124,流失客户
68696,795,2,1828.0,1,2,4,124,流失客户
76814,818,1,499.0,1,1,4,114,流失客户
114062,818,1,499.0,1,1,4,114,流失客户
140523,642,3,3701.9,3,3,5,335,重要挽留客户
71042,778,2,458.0,1,2,4,124,流失客户
87761,525,3,483.0,4,3,4,434,重要深耕客户
120846,464,6,925.8,5,5,4,554,重要价值客户
101625,818,1,359.0,1,1,4,114,流失客户
158855,800,2,2848.0,1,2,5,125,流失客户
82539,818,1,339.0,1,1,4,114,流失客户
140699,497,5,8624.9,5,4,5,545,重要价值客户
108549,818,1,299.0,1,1,3,113,流失客户
108556,818,1,299.0,1,1,3,113,流失客户
57113,818,1,279.0,1,1,3,113,流失客户
94774,818,1,268.0,1,1,3,113,流失客户
152996,818,1,199.0,1,1,3,113,流失客户
67699,710,2,377.0,2,2,4,224,新客户
86124,818,1,199.0,1,1,3,113,流失客户
64909,818,1,198.0,1,1,3,113,流失客户
162143,818,1,189.0,1,1,3,113,流失客户
66091,818,1,179.0,1,1,3,113,流失客户
116476,818,1,179.0,1,1,3,113,流失客户
127314,694,4,2142.5,2,4,4,244,新客户
96244,634,2,254.0,3,2,3,323,潜力客户
58154,818,1,149.0,1,1,3,113,流失客户
119297,479,2,848.0,5,2,4,524,重要价值客户
149222,599,2,667.0,3,2,4,324,潜力客户
146174,818,1,126.0,1,1,3,113,流失客户
146809,753,2,3505.0,1,2,5,125,流失客户
69019,765,2,157.0,1,2,3,123,流失客户
100772,731,2,614.0,2,2,4,224,新客户
114395,818,1,115.0,1,1,3,113,流失客户
74651,593,3,277.0,3,3,3,333,潜力客户
136640,818,1,105.0,1,1,3,113,流失客户
72109,691,2,110.5,2,2,3,223,新客户
135820,805,2,2598.0,1,2,5,125,流失客户
149708,466,4,194.8,5,4,3,543,重要价值客户
127198,818,1,99.0,1,1,3,113,流失客户
97053,459,2,2697.0,5,2,5,525,重要价值客户
96302,818,1,99.0,1,1,3,113,流失客户
79929,818,1,89.9,1,1,3,113,流失客户
117506,818,1,89.0,1,1,3,113,流失客户
117537,818,1,78.0,1,1,3,113,流失客户
132544,458,3,1015.0,5,3,4,534,重要价值客户
141745,818,1,75.0,1,1,3,113,流失客户
64187,818,1,71.0,1,1,3,113,流失客户
131460,818,1,69.0,1,1,3,113,流失客户
159697,818,1,69.0,1,1,3,113,流失客户
110002,818,1,69.0,1,1,3,113,流失客户
98294,818,1,65.9,1,1,3,113,流失客户
91267,818,1,65.0,1,1,3,113,流失客户
134485,747,2,347.0,1,2,4,124,流失客户
91669,818,1,59.0,1,1,2,112,流失客户
95311,525,2,357.0,4,2,4,424,重要深耕客户
100596,818,1,59.0,1,1,2,112,流失客户
102137,818,1,59.0,1,1,2,112,流失客户
106932,818,1,59.0,1,1,2,112,流失客户
117527,649,2,110.0,3,2,3,323,潜力客户
158589,818,1,59.0,1,1,2,112,流失客户
121498,748,2,65.0,1,2,3,123,流失客户
70290,498,2,1908.0,5,2,4,524,重要价值客户
89357,818,1,55.0,1,1,2,112,流失客户
68431,818,1,49.9,1,1,2,112,流失客户
53833,456,3,3958.8,5,3,5,535,重要价值客户
104653,639,4,289.7,3,4,3,343,重要挽留客户
118743,465,3,203.9,5,3,3,533,重要价值客户
63477,818,1,49.0,1,1,2,112,流失客户
81521,733,2,2635.0,2,2,5,225,新客户
127091,522,3,157.9,4,3,3,433,重要深耕客户
81106,462,5,325.6,5,4,4,544,重要价值客户
144345,818,1,49.0,1,1,2,112,流失客户
87445,494,3,3036.0,5,3,5,535,重要价值客户
73550,697,2,56.9,2,2,2,222,一般维持客户
125120,486,2,54.8,5,2,2,522,重要价值客户
116450,818,1,44.9,1,1,2,112,流失客户
121476,818,1,39.9,1,1,2,112,流失客户
122462,818,1,39.9,1,1,2,112,流失客户
143140,705,2,48.8,2,2,2,222,一般维持客户
160349,818,1,39.0,1,1,2,112,流失客户
126006,514,2,48.9,5,2,2,522,重要价值客户
87634,818,1,39.0,1,1,2,112,流失客户
53281,573,3,346.9,4,3,4,434,重要深耕客户
97993,758,2,90.0,1,2,3,123,流失客户
164077,818,1,37.0,1,1,2,112,流失客户
80935,495,3,112.8,5,3,3,533,重要价值客户
113853,811,2,56.8,1,2,2,122,流失客户
152287,658,2,124.8,2,2,3,223,新客户
151247,818,1,29.8,1,1,2,112,流失客户
93630,818,1,29.0,1,1,2,112,流失客户
113711,818,1,29.0,1,1,2,112,流失客户
155796,818,1,29.0,1,1,2,112,流失客户
104364,818,1,29.0,1,1,2,112,流失客户
157114,597,2,38.9,3,2,2,322,潜力客户
135723,767,2,265.9,1,2,3,123,流失客户
131566,818,1,26.0,1,1,2,112,流失客户
74669,818,1,25.5,1,1,2,112,流失客户
143247,680,2,46.9,2,2,2,222,一般维持客户
53937,818,1,23.0,1,1,2,112,流失客户
157599,818,1,21.9,1,1,2,112,流失客户
72253,585,3,89.9,3,3,3,333,潜力客户
93090,509,4,4849.6,5,4,5,545,重要价值客户
64146,818,1,21.6,1,1,2,112,流失客户
149040,818,1,19.9,1,1,2,112,流失客户
88552,818,1,19.9,1,1,2,112,流失客户
139975,818,1,19.9,1,1,2,112,流失客户
139621,818,1,19.9,1,1,2,112,流失客户
86519,583,2,20.4,3,2,2,322,潜力客户
54872,818,1,19.9,1,1,2,112,流失客户
51647,589,3,806.9,3,3,4,334,重要挽留客户
119463,681,2,29.4,2,2,2,222,一般维持客户
123776,810,2,1504.9,1,2,4,124,流失客户
57709,725,2,69.5,2,2,3,223,新客户
92343,571,3,1428.0,4,3,4,434,重要深耕客户
150087,658,2,615.0,2,2,4,224,新客户
134834,818,1,14.9,1,1,1,111,流失客户
77227,622,2,20.8,3,2,2,322,潜力客户
56525,613,2,2812.9,3,2,5,325,潜力客户
100031,559,2,23.700000000000003,4,2,2,422,重要深耕客户
145619,818,1,13.8,1,1,1,111,流失客户
86822,677,2,2411.9,2,2,5,225,新客户
120064,818,1,12.9,1,1,1,111,流失客户
54670,818,1,12.9,1,1,1,111,流失客户
121180,766,2,214.5,1,2,3,123,流失客户
103876,526,2,110.9,4,2,3,423,重要深耕客户
100304,818,1,11.9,1,1,1,111,流失客户
126442,691,2,2210.9,2,2,4,224,新客户
59576,506,3,249.8,5,3,3,533,重要价值客户
83244,818,1,11.9,1,1,1,111,流失客户
107970,818,1,11.9,1,1,1,111,流失客户
90413,818,1,11.9,1,1,1,111,流失客户
123661,818,1,11.5,1,1,1,111,流失客户
78115,818,1,11.5,1,1,1,111,流失客户
137778,522,2,20.700000000000003,4,2,2,422,重要深耕客户
99952,818,1,9.9,1,1,1,111,流失客户
65041,568,2,1458.9,4,2,4,424,重要深耕客户
79114,491,2,15.9,5,2,2,522,重要价值客户
163916,818,1,9.9,1,1,1,111,流失客户
97051,818,1,9.9,1,1,1,111,流失客户
126216,494,2,1808.9,5,2,4,524,重要价值客户
59904,818,1,9.9,1,1,1,111,流失客户
62785,818,1,9.9,1,1,1,111,流失客户
76555,518,3,288.79999999999995,4,3,3,433,重要深耕客户
128346,690,2,188.9,2,2,3,223,新客户
89992,537,3,2017.9,4,3,4,434,重要深耕客户
159814,818,1,9.9,1,1,1,111,流失客户
61971,661,2,21.9,2,2,2,222,一般维持客户
112447,818,1,9.9,1,1,1,111,流失客户
156071,818,1,9.9,1,1,1,111,流失客户
91591,620,3,97.60000000000001,3,3,3,333,潜力客户
139777,818,1,9.9,1,1,1,111,流失客户
86928,740,2,1308.9,1,2,4,124,流失客户
70402,763,2,308.9,1,2,4,124,流失客户
124293,616,2,87.8,3,2,3,323,潜力客户
133718,818,1,9.8,1,1,1,111,流失客户
136173,747,3,1004.8,1,3,4,134,流失客户
72050,701,2,438.8,2,2,4,224,新客户
92067,534,3,628.5999999999999,4,3,4,434,重要深耕客户
55494,818,1,9.8,1,1,1,111,流失客户
130722,724,2,78.8,2,2,3,223,新客户
112589,818,1,9.0,1,1,1,111,流失客户
120362,759,2,15.8,1,2,2,122,流失客户
123758,508,3,90.4,5,3,3,533,重要价值客户
117230,818,1,8.9,1,1,1,111,流失客户
151780,566,2,1007.8,4,2,4,424,重要深耕客户
113695,818,1,8.6,1,1,1,111,流失客户
122675,461,3,66.6,5,3,3,533,重要价值客户
105227,818,1,8.5,1,1,1,111,流失客户
70451,818,1,8.0,1,1,1,111,流失客户
106297,818,1,7.9,1,1,1,111,流失客户
151238,493,2,406.8,5,2,4,524,重要价值客户
146584,735,3,2304.8,1,3,5,135,流失客户
109021,707,2,65.9,2,2,3,223,新客户
128546,647,2,3405.9,3,2,5,325,潜力客户
54056,500,2,205.3,5,2,3,523,重要价值客户
153332,818,1,6.0,1,1,1,111,流失客户
88855,818,1,6.0,1,1,1,111,流失客户
115365,818,1,6.0,1,1,1,111,流失客户
158931,818,1,4.2,1,1,1,111,流失客户
159739,818,1,1.8,1,1,1,111,流失客户
105015,592,2,3926.5,3,2,5,325,潜力客户
57953,528,3,1598.5,4,3,4,434,重要深耕客户
159410,818,1,0.5,1,1,1,111,流失客户
120065,818,1,0.5,1,1,1,111,流失客户
140248,818,1,0.5,1,1,1,111,流失客户
142900,817,1,8999.0,1,1,5,115,流失客户
92654,492,2,9012.0,5,2,5,525,重要价值客户
92230,796,2,6904.9,1,2,5,125,流失客户
93422,718,2,6306.0,2,2,5,225,新客户
85026,817,1,5799.0,1,1,5,115,流失客户
164230,782,2,5608.9,1,2,5,125,流失客户
150923,817,1,5299.0,1,1,5,115,流失客户
58826,472,3,5084.9,5,3,5,535,重要价值客户
115986,817,1,4586.0,1,1,5,115,流失客户
137707,618,3,8219.9,3,3,5,335,重要挽留客户
104963,817,1,3999.0,1,1,5,115,流失客户
139729,817,1,3999.0,1,1,5,115,流失客户
151849,491,2,4051.0,5,2,5,525,重要价值客户
156922,706,2,7887.0,2,2,5,225,新客户
162140,817,1,3880.0,1,1,5,115,流失客户
65418,681,2,3858.0,2,2,5,225,新客户
92119,717,2,5967.0,2,2,5,225,新客户
90181,817,1,3699.0,1,1,5,115,流失客户
60263,817,1,3599.0,1,1,5,115,流失客户
85292,817,1,3399.0,1,1,5,115,流失客户
88549,768,2,3368.0,1,2,5,125,流失客户
53902,817,1,3199.0,1,1,5,115,流失客户
150816,624,2,3006.8,3,2,5,325,潜力客户
57921,817,1,2990.0,1,1,5,115,流失客户
162029,817,1,2699.0,1,1,5,115,流失客户
118353,817,1,2599.0,1,1,5,115,流失客户
57576,527,2,2518.9,4,2,5,425,重要深耕客户
133508,817,1,2468.0,1,1,5,115,流失客户
132375,817,1,2365.0,1,1,5,115,流失客户
128527,809,2,6867.0,1,2,5,125,流失客户
149473,817,1,2286.0,1,1,4,114,流失客户
110953,817,1,2286.0,1,1,4,114,流失客户
113144,578,3,3892.8,4,3,5,435,重要深耕客户
65417,472,2,2287.9,5,2,5,525,重要价值客户
162916,653,2,2253.5,3,2,4,324,潜力客户
156214,472,3,9672.8,5,3,5,535,重要价值客户
132347,681,2,1988.0,2,2,4,224,新客户
105708,720,4,10375.0,2,4,5,245,新客户
159871,597,2,1695.2,3,2,4,324,潜力客户
151225,529,2,4387.0,4,2,5,425,重要深耕客户
144942,817,1,1398.0,1,1,4,114,流失客户
56117,817,1,1299.0,1,1,4,114,流失客户
104762,817,1,1299.0,1,1,4,114,流失客户
62627,781,2,1187.0,1,2,4,124,流失客户
92555,552,3,8277.9,4,3,5,435,重要深耕客户
113317,736,2,1065.9,1,2,4,124,流失客户
88883,575,3,1125.9,4,3,4,434,重要深耕客户
68887,817,1,939.0,1,1,4,114,流失客户
128226,535,2,997.0,4,2,4,424,重要深耕客户
99432,817,1,899.0,1,1,4,114,流失客户
54319,817,1,798.0,1,1,4,114,流失客户
133473,517,2,1177.0,4,2,4,424,重要深耕客户
53299,817,1,688.0,1,1,4,114,流失客户
152090,518,3,1065.8,4,3,4,434,重要深耕客户
106580,517,2,607.9,4,2,4,424,重要深耕客户
105276,817,1,459.0,1,1,4,114,流失客户
73507,571,2,442.9,4,2,4,424,重要深耕客户
148978,817,1,399.0,1,1,4,114,流失客户
79620,817,1,399.0,1,1,4,114,流失客户
144207,817,1,369.0,1,1,4,114,流失客户
112758,817,1,359.0,1,1,4,114,流失客户
102190,686,2,328.9,2,2,4,224,新客户
123007,776,3,386.9,1,3,4,134,流失客户
84765,817,1,299.0,1,1,3,113,流失客户
110209,495,4,5115.9,5,4,5,545,重要价值客户
55975,817,1,249.0,1,1,3,113,流失客户
75971,817,1,249.0,1,1,3,113,流失客户
154428,739,2,348.9,1,2,4,124,流失客户
149457,817,1,229.0,1,1,3,113,流失客户
151140,817,1,219.0,1,1,3,113,流失客户
141318,642,3,3615.0,3,3,5,335,重要挽留客户
119424,613,3,627.0,3,3,4,334,重要挽留客户
72663,544,3,4124.0,4,3,5,435,重要深耕客户
118431,460,4,234.50000000000003,5,4,3,543,重要价值客户
102146,556,2,207.9,4,2,3,423,重要深耕客户
64126,817,1,199.0,1,1,3,113,流失客户
127112,602,2,497.0,3,2,4,324,潜力客户
61336,817,1,195.0,1,1,3,113,流失客户
76930,817,1,189.0,1,1,3,113,流失客户
91150,501,2,194.3,5,2,3,523,重要价值客户
99237,643,2,4178.0,3,2,5,325,潜力客户
105656,817,1,179.0,1,1,3,113,流失客户
132052,817,1,179.0,1,1,3,113,流失客户
118675,817,1,168.0,1,1,3,113,流失客户
130841,647,2,366.0,3,2,4,324,潜力客户
80158,728,2,188.9,2,2,3,223,新客户
71158,707,2,298.0,2,2,3,223,新客户
89194,496,2,168.0,5,2,3,523,重要价值客户
164621,817,1,136.0,1,1,3,113,流失客户
52158,817,1,129.0,1,1,3,113,流失客户
62456,817,1,129.0,1,1,3,113,流失客户
155532,817,1,129.0,1,1,3,113,流失客户
86395,817,1,119.0,1,1,3,113,流失客户
131425,536,2,332.0,4,2,4,424,重要深耕客户
70753,817,1,109.0,1,1,3,113,流失客户
102413,626,2,112.9,3,2,3,323,潜力客户
150427,817,1,105.0,1,1,3,113,流失客户
142262,725,2,257.0,2,2,3,223,新客户
124615,817,1,99.0,1,1,3,113,流失客户
153937,817,1,99.0,1,1,3,113,流失客户
72919,817,1,79.0,1,1,3,113,流失客户
122603,817,1,78.0,1,1,3,113,流失客户
135467,492,2,89.9,5,2,3,523,重要价值客户
110036,767,2,81.9,1,2,3,123,流失客户
60290,549,2,2568.0,4,2,5,425,重要深耕客户
141684,548,2,82.2,4,2,3,423,重要深耕客户
130812,817,1,68.0,1,1,3,113,流失客户
96347,817,1,65.9,1,1,3,113,流失客户
65928,817,1,65.9,1,1,3,113,流失客户
107479,589,2,277.0,3,2,3,323,潜力客户
116047,817,1,59.0,1,1,2,112,流失客户
160237,817,1,59.0,1,1,2,112,流失客户
159180,817,1,59.0,1,1,2,112,流失客户
110656,817,1,59.0,1,1,2,112,流失客户
116634,704,2,3658.0,2,2,5,225,新客户
94067,586,3,1564.3,3,3,4,334,重要挽留客户
103116,651,2,6247.0,3,2,5,325,潜力客户
118577,817,1,58.0,1,1,2,112,流失客户
94802,817,1,55.0,1,1,2,112,流失客户
132153,817,1,55.0,1,1,2,112,流失客户
102423,817,1,55.0,1,1,2,112,流失客户
143449,523,3,3708.0,4,3,5,435,重要深耕客户
163544,817,1,49.0,1,1,2,112,流失客户
132620,817,1,49.0,1,1,2,112,流失客户
144460,710,2,2648.0,2,2,5,225,新客户
140612,817,1,49.0,1,1,2,112,流失客户
122979,535,3,2559.9,4,3,5,435,重要深耕客户
155070,759,2,65.9,1,2,3,123,流失客户
132938,817,1,46.9,1,1,2,112,流失客户
109296,746,2,2244.0,1,2,4,124,流失客户
111749,817,1,44.9,1,1,2,112,流失客户
81363,598,4,443.9,3,4,4,344,重要挽留客户
52790,530,3,73.9,4,3,3,433,重要深耕客户
85177,817,1,39.0,1,1,2,112,流失客户
57737,798,2,88.0,1,2,3,123,流失客户
126839,807,2,43.9,1,2,2,122,流失客户
75603,714,2,3234.0,2,2,5,225,新客户
66866,547,3,340.7,4,3,4,434,重要深耕客户
109496,817,1,29.9,1,1,2,112,流失客户
98254,702,2,77.9,2,2,3,223,新客户
120108,817,1,29.0,1,1,2,112,流失客户
90686,760,2,38.9,1,2,2,122,流失客户
83960,797,2,78.0,1,2,3,123,流失客户
77516,697,3,326.0,2,3,4,234,新客户
108561,817,1,25.0,1,1,2,112,流失客户
67732,460,4,4790.7,5,4,5,545,重要价值客户
65252,510,2,32.6,5,2,2,522,重要价值客户
99790,728,2,2623.0,2,2,5,225,新客户
132517,558,2,33.8,4,2,2,422,重要深耕客户
131099,505,2,182.9,5,2,3,523,重要价值客户
67122,817,1,23.9,1,1,2,112,流失客户
135373,817,1,23.9,1,1,2,112,流失客户
113927,817,1,23.0,1,1,2,112,流失客户
58587,817,1,22.9,1,1,2,112,流失客户
153959,689,2,28.2,2,2,2,222,一般维持客户
100543,481,3,55.699999999999996,5,3,2,532,重要价值客户
112322,637,3,39.8,3,3,2,332,潜力客户
55671,753,2,61.5,1,2,2,122,流失客户
52341,743,2,31.5,1,2,2,122,流失客户
138042,551,2,29.799999999999997,4,2,2,422,重要深耕客户
69956,483,3,101.7,5,3,3,533,重要价值客户
63133,471,2,218.9,5,2,3,523,重要价值客户
123163,817,1,19.9,1,1,2,112,流失客户
119834,817,1,19.9,1,1,2,112,流失客户
155140,753,2,40.9,1,2,2,122,流失客户
84969,567,2,37.7,4,2,2,422,重要深耕客户
111663,817,1,18.8,1,1,2,112,流失客户
93314,817,1,18.2,1,1,2,112,流失客户
158810,678,4,638.4,2,4,4,244,新客户
125839,496,4,15680.5,5,4,5,545,重要价值客户
65616,817,1,15.5,1,1,2,112,流失客户
113609,817,1,15.0,1,1,2,112,流失客户
142641,475,5,5233.9,5,4,5,545,重要价值客户
132446,817,1,13.9,1,1,1,111,流失客户
148659,817,1,13.9,1,1,1,111,流失客户
78051,817,1,13.9,1,1,1,111,流失客户
69741,784,2,411.9,1,2,4,124,流失客户
154434,817,1,12.9,1,1,1,111,流失客户
105028,817,1,11.9,1,1,1,111,流失客户
153282,633,3,2119.8,3,3,4,334,重要挽留客户
105923,514,3,3240.8,5,3,5,535,重要价值客户
155240,817,1,11.9,1,1,1,111,流失客户
72823,722,2,250.9,2,2,3,223,新客户
63904,817,1,11.9,1,1,1,111,流失客户
120241,817,1,11.9,1,1,1,111,流失客户
76325,624,2,59.9,3,2,2,322,潜力客户
91369,817,1,10.9,1,1,1,111,流失客户
138735,803,2,20.8,1,2,2,122,流失客户
89315,817,1,9.9,1,1,1,111,流失客户
148652,471,2,19.8,5,2,2,522,重要价值客户
98841,817,1,9.9,1,1,1,111,流失客户
82520,817,1,9.9,1,1,1,111,流失客户
110554,817,1,9.9,1,1,1,111,流失客户
156635,817,1,9.9,1,1,1,111,流失客户
127715,613,4,328.8,3,4,4,344,重要挽留客户
118308,817,1,9.9,1,1,1,111,流失客户
157758,650,2,3308.9,3,2,5,325,潜力客户
153311,478,2,807.9,5,2,4,524,重要价值客户
163020,817,1,9.9,1,1,1,111,流失客户
152534,817,1,9.9,1,1,1,111,流失客户
105871,786,2,97.9,1,2,3,123,流失客户
104105,685,2,29.799999999999997,2,2,2,222,一般维持客户
102555,817,1,9.9,1,1,1,111,流失客户
124157,740,3,2020.8,1,3,4,134,流失客户
69661,817,1,9.9,1,1,1,111,流失客户
94913,769,2,2295.9,1,2,5,125,流失客户
123264,817,1,9.9,1,1,1,111,流失客户
57663,817,1,9.9,1,1,1,111,流失客户
116011,578,3,2707.9,4,3,5,435,重要深耕客户
88475,458,3,797.8,5,3,4,534,重要价值客户
103613,594,2,897.8,3,2,4,324,潜力客户
150153,624,2,207.9,3,2,3,323,潜力客户
61049,817,1,8.9,1,1,1,111,流失客户
88542,817,1,8.9,1,1,1,111,流失客户
144550,550,3,913.9,4,3,4,434,重要深耕客户
86956,521,2,4007.9,4,2,5,425,重要深耕客户
139708,460,2,21.8,5,2,2,522,重要价值客户
151876,817,1,8.6,1,1,1,111,流失客户
124596,657,2,14.6,2,2,1,221,一般维持客户
117830,792,2,20.8,1,2,2,122,流失客户
150304,817,1,7.8,1,1,1,111,流失客户
117096,817,1,7.8,1,1,1,111,流失客户
100793,469,2,56.8,5,2,2,522,重要价值客户
117543,817,1,6.9,1,1,1,111,流失客户
60480,817,1,6.9,1,1,1,111,流失客户
92879,817,1,6.9,1,1,1,111,流失客户
97969,817,1,6.3,1,1,1,111,流失客户
89640,817,1,6.3,1,1,1,111,流失客户
149991,479,2,105.3,5,2,3,523,重要价值客户
69192,817,1,6.0,1,1,1,111,流失客户
55381,817,1,6.0,1,1,1,111,流失客户
53239,817,1,6.0,1,1,1,111,流失客户
98956,817,1,6.0,1,1,1,111,流失客户
71368,817,1,5.9,1,1,1,111,流失客户
82592,686,2,539.5,2,2,4,224,新客户
74164,584,3,578.2,3,3,4,334,重要挽留客户
149090,564,2,10.7,4,2,1,421,重要深耕客户
64521,817,1,0.5,1,1,1,111,流失客户
105102,817,1,0.5,1,1,1,111,流失客户
160718,816,1,7599.0,1,1,5,115,流失客户
88038,816,1,5999.0,1,1,5,115,流失客户
120118,816,1,5399.0,1,1,5,115,流失客户
57369,543,3,5379.9,4,3,5,435,重要深耕客户
157676,689,2,5015.9,2,2,5,225,新客户
97320,766,2,8898.0,1,2,5,125,流失客户
141244,816,1,4899.0,1,1,5,115,流失客户
96966,816,1,4586.0,1,1,5,115,流失客户
77504,778,2,4998.0,1,2,5,125,流失客户
153868,816,1,4199.0,1,1,5,115,流失客户
106674,456,3,4524.8,5,3,5,535,重要价值客户
55618,798,2,4068.0,1,2,5,125,流失客户
115064,816,1,3999.0,1,1,5,115,流失客户
66519,545,2,4098.0,4,2,5,425,重要深耕客户
99408,816,1,3799.0,1,1,5,115,流失客户
140105,734,2,6087.0,1,2,5,125,流失客户
92646,816,1,3444.0,1,1,5,115,流失客户
135740,816,1,3399.0,1,1,5,115,流失客户
107056,816,1,3388.0,1,1,5,115,流失客户
110915,816,1,3344.0,1,1,5,115,流失客户
76695,803,3,3338.9,1,3,5,135,流失客户
93088,559,2,3148.9,4,2,5,425,重要深耕客户
100600,480,2,3318.0,5,2,5,525,重要价值客户
145898,628,2,4998.0,3,2,5,325,潜力客户
110942,816,1,3099.0,1,1,5,115,流失客户
126011,816,1,3098.0,1,1,5,115,流失客户
108025,816,1,3098.0,1,1,5,115,流失客户
137337,816,1,3088.0,1,1,5,115,流失客户
100115,816,1,2999.0,1,1,5,115,流失客户
73479,816,1,2999.0,1,1,5,115,流失客户
98085,507,2,2998.9,5,2,5,525,重要价值客户
76291,649,2,4898.0,3,2,5,325,潜力客户
105159,494,2,2954.0,5,2,5,525,重要价值客户
137974,816,1,2896.0,1,1,5,115,流失客户
155648,816,1,2799.0,1,1,5,115,流失客户
73750,816,1,2799.0,1,1,5,115,流失客户
144950,816,1,2659.0,1,1,5,115,流失客户
156683,474,3,5067.0,5,3,5,535,重要价值客户
61702,737,2,2838.0,1,2,5,125,流失客户
112201,588,4,6046.0,3,4,5,345,重要挽留客户
75246,816,1,2499.0,1,1,5,115,流失客户
163469,816,1,2499.0,1,1,5,115,流失客户
79863,570,3,4764.0,4,3,5,435,重要深耕客户
88127,586,3,2363.8,3,3,5,335,重要挽留客户
162404,816,1,2299.0,1,1,5,115,流失客户
56198,504,2,2457.0,5,2,5,525,重要价值客户
160198,816,1,2199.0,1,1,4,114,流失客户
119712,816,1,2199.0,1,1,4,114,流失客户
152884,816,1,2199.0,1,1,4,114,流失客户
162914,552,2,5298.0,4,2,5,425,重要深耕客户
144622,551,4,2307.0,4,4,5,445,重要唤回客户
85125,816,1,1999.0,1,1,4,114,流失客户
162540,816,1,1899.0,1,1,4,114,流失客户
128725,816,1,1888.0,1,1,4,114,流失客户
133212,816,1,1888.0,1,1,4,114,流失客户
130207,816,1,1699.0,1,1,4,114,流失客户
98213,587,3,4796.0,3,3,5,335,重要挽留客户
90300,816,1,1598.0,1,1,4,114,流失客户
157209,616,2,1688.0,3,2,4,324,潜力客户
63887,501,5,11384.0,5,4,5,545,重要价值客户
83406,477,3,1565.9,5,3,4,534,重要价值客户
100003,646,2,1556.0,3,2,4,324,潜力客户
117441,712,3,4446.9,2,3,5,235,新客户
82197,816,1,1198.0,1,1,4,114,流失客户
122469,496,2,1068.0,5,2,4,524,重要价值客户
76456,580,2,1865.0,4,2,4,424,重要深耕客户
141158,816,1,999.0,1,1,4,114,流失客户
61337,816,1,998.0,1,1,4,114,流失客户
97483,816,1,829.0,1,1,4,114,流失客户
112884,816,1,791.0,1,1,4,114,流失客户
94560,586,2,838.0,3,2,4,324,潜力客户
73886,620,2,698.0,3,2,4,324,潜力客户
144075,592,3,658.9,3,3,4,334,重要挽留客户
105185,816,1,499.0,1,1,4,114,流失客户
139488,816,1,469.0,1,1,4,114,流失客户
88877,596,2,3747.0,3,2,5,325,潜力客户
147976,683,2,1646.0,2,2,4,224,新客户
103869,816,1,409.0,1,1,4,114,流失客户
143548,816,1,399.0,1,1,4,114,流失客户
140856,816,1,399.0,1,1,4,114,流失客户
136387,658,2,3125.0,2,2,5,225,新客户
